Category Title,Category URL,Subcategory Title,Subcategory URL,View More Exists,View More URL,Article Count
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA and FSP Quick Start Curriculum,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31655,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31655,13
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA and FSP Technical articles,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31656,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31656,31
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA Hardware,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31089,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31089,24
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA/FSP Software,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31088,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31088,90
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA/FSP Knowledge Base,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31090,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31090,254
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA/FSP GitHub,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31091,False,,3
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA8 Series with Cortex-M85 core,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/32169,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/32169,24
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA4 & RA6 Series with Cortex-M33 core,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31269,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31269,30
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA2 Series with Cortex-M23 core,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31297,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31297,19
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA0 Series with Cortex-M23 core,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/32659,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/32659,10
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,"RA-T Series (RA6T1 group, RA6T2 group, RA4T1 group, RA6T3 group)",https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31293,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31293,18
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,RA4W1,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31225,False,,5
